tag,debate_id,seq_index,rule_says,lstm_says,lstm_confidence,text
chair_ruling,Debate_No_19_of_2020_–_Friday_12_June_2020​,340,0,1,0.545,"Thank you very much. Hon. Juman, please continue!"
chair_ruling,Debate_No_11_of_2017_–_Wednesday_14_June_2017,298,0,1,0.972,Order!
chair_ruling,Debate_No_28_of_2022_–_Thursday_10_November_2022,102,0,1,0.805,Order! I am sure you got my point. And I am sure it is fair not pointing out anybody.
chair_ruling,Debate_No_25_of_2020_–_Tuesday_14_July_2020,781,0,1,0.964,Is this a point of clarification or a point of order?
chair_ruling,Debate_No._37_of_2025_(UNREVISED)_–_Tuesday_25_November_2025,438,0,1,0.79,Let me take a point of order! The point of order being why is it that Members on the government side have been able to put questions on those alleged recordings and that the Member from this side is not being allowed to?
chair_ruling,Debate_No_18_of_2017_–_Tuesday_04_July_2017,771,0,1,0.969,"Order, please!"
chair_ruling,Debate_No_24_of_2020_–_Tuesday_07_July_2020,573,0,1,0.969,"Order, please!"
interruption,Debate_No_36_of_2016_(REVISED)_–_Tuesday_06_December_2016,681,0,1,0.991,Interruptions can be disorderly and it will only act to difficulties in the House! Please proceed in order!
interruption,Debate_No_21_of_2018_–_Tuesday_03_July_2018,160,0,1,0.566,"So, that was the last question of the hon. Leader of the Opposition. Questions addressed to the hon. Prime Minister! Hon. Members, the Table has been advised that PQ B/483 in regard to the appointment of a special administrator for the BAI Company Mauritius Ltd and Bramer Banking Corporation Ltd wil"
interruption,Debate_No_08_of_2015_(REVISED)_-Tuesday_10_March_2015,509,0,1,1.0,(|Interruptions)
interruption,Debate_No_16_of_2018_–_Saturday_23_June_2018​,206,0,1,1.0,(Interruptions )
withdrawal_request,Debate_No_22_of_2018_–_Tuesday_10_July_2018,161,0,1,0.658,"Ask your question! COMMERCIAL BANKS – COMPLAINTS AGAINST (No. B/551) Mr R. Uteem (First Member for Port Louis South & Port Louis Central) asked the Prime Minister, Minister of Home Affairs, External Communications and National Development Unit, Minister of Finance and Economic Development whether, i"
withdrawal_request,Debate_No_21_of_2021_–_Tuesday_29_June_2021​,33,0,1,0.94,"Hon. Members, I have an announcement to make. My attention has been drawn to a declaration made by the hon. Third Member for Constituency No. 1, GRNW and Port Louis West (Mr Armance), on 28 June 2021, aired on Radio Plus, expressing his views on the business to be transacted during today’s Sitting. "
withdrawal_request,Debate_No_16_of_2019_–_Friday_21_June_2019​,28,0,1,0.912,"Budget 2019-2020 is strongly anchored in the philosophy that puts the economy at the service of the people. Madam Speaker, this is the last time I am speaking in this House on an Appropriation Bill since I have already publicly announced that I will not be standing as candidate at the next General E"
withdrawal_request,Debate_No_29_of_2018_–_Tuesday_30_October_2018,641,0,1,0.563,"So, this little interlude, Mr Deputy Speaker, Sir, has managed to show us what I said a few seconds ago was true. In other words, it is just a semblance of us trying to have a debate on intelligent matters and, the other side, Government, as I said, desperate in order to stay in power, desperate in "
withdrawal_request,Debate_No_18_of_2015_(REVISED)_–_Wednesday_08_April_2015,48,0,1,0.584,"Madam Speaker, let me right from the outset congratulate hon. Jahangeer for his maiden speech on the Budget. Allow me also, Madam Speaker, as the tradition is, to join the other orators on this side of the House to congratulate very warmly the hon. Minister of Finance and Economic Development for hi"
withdrawal_request,Debate_No_03_of_2019_–_Tuesday_16_April_2019,80,0,1,0.648,"Now, this is the last time that I am drawing the attention of hon. Members that remarks from a sitting position is not in order and I say it, it is the last time. We have got only 10 minutes left for Question Time. So, allow the hon. Minister to reply and the hon. Leader of the Opposition to ask his"
withdrawal_request,Debate_No_02_of_2017_–_Tuesday_04_April_2017,1300,0,1,0.697,"Sir Anerood Jugnauth: He feels hurt, he knows why? I did not tell him that. But you made it very clear, Mr Deputy Speaker, with your introductory remarks that it was the Speaker who gave instructions for this motion to be put on the Order Paper to be debated today. When he tries to make us believe t"
withdrawal_request,Debate_No_40_of_2018_–_Friday_14_December_2018,4,0,1,0.505,"Thank you, very much, Madam Speaker. I will take it where I left when we last met on this Private Member’s Motion and I am glad that we are debating this very major Motion. As the House is aware, the Motion which stands on the name of the hon. First Member for Savanne & Black River reads as follows "
withdrawal_request,Debate_No_09_of_2016_(REVISED)_–_Thursday_26_May_2016,12,0,1,0.724,"Madam Speaker, I would wish to start by saying that I listened very carefully to three, from my point of view, very good speeches that were made last Tuesday: one by my colleague, hon. Reza Uteem, the second by hon. Alan Ganoo and the third by the Minister of Business, Enterprise and Cooperatives, h"
withdrawal_request,Debate_No_32_of_2021_–_Tuesday_16_November_2021​​,657,0,1,0.856,"Mr R. Dhaliah (Second Member for Piton & Rivière du Rempart): Mr Deputy Speaker, Sir, I thank you for allowing me to take the floor to debate on this vital piece of legislation, that is, the Cybersecurity and Cybercrime Bill in this august Assembly. Mr Deputy Speaker, Sir, in our age of digital conn"
withdrawal_request,Debate_No_16_of_2020_–_Tuesday_09_June_2020,0,0,1,0.922,"Prime Minister’s Question Time! The Table has been advised that Parliamentary Questions B/74, B/110, PQ A/33 have been rescheduled. PQ B/74 will be replied by the hon. Minister of Finance, Economic Planning and Development; PQ B/110 will be replied by the hon. Prime Minister; PQ A/33 will be replied"
withdrawal_request,Debate_No_13_of_2021_–_Tuesday_15_June_2021​​,232,0,1,0.676,"Mr Speaker, Sir, with your permission, I wish to make a statement regarding the holding of Hadj this year. Hon. Members would recall that on 30 March 2021, following PQ B/89 from hon. Osman Mahomed, addressed to the hon. Minister of Land Transport and Light Rail, Minister of Foreign Affairs, Regiona"
withdrawal_request,Debate_No_33_of_2016_(REVISED)_–_Tuesday_22_November_2016,612,0,1,0.67,"Mr A. Ganoo (First Member for Savanne & Black River): Mr Deputy Speaker, Sir, much has already been said on this piece of legislation, but I wish to make a few points to the present Bill which is being introduced to the House. I will not go back on what has already been said before me, but we all kn"
withdrawal_request,Debate_No_11_of_2019_–_Friday_14_June_2019​​,318,0,1,0.636,"Thank you, Mr Deputy Speaker, Sir. Let me first of all, associate myself with Members of this side of the House, and coincidently, I see only Members on this side of the House for the time being - my good friend hon. Ezra Jhuboo is here. Mr Deputy Speaker, Sir, I would like to associate myself with "
withdrawal_request,Debate_No_39_of_2018_–_Wednesday_12_December_2018,98,0,1,0.943,"Mr R. Uteem (First Member for Port Louis South & Port Louis Central): Madam Speaker, after four days of intense debate on the Constitution (Amendment) Bill with passionate speeches from both sides of the House, I am glad there is unanimity for this Bill. This is the sign of a healthy democracy, a pe"
withdrawal_request,Debate_No_08_of_2025_(UNREVISED)_-Tuesday_18_March_2025,526,0,1,0.537,"Mr Deputy Speaker, Sir, first of all, I would like to thank hon. Members genuinely, from our side I should say, who have intervened on this Bill. It is really encouraging to see our backbenchers at that level; the Junior Ministers, the Ministers also, of course. The hon. Leader of the Opposition is "
withdrawal_request,Debate_No_29_of_2020_–_Tuesday_11_August_2020,882,0,1,0.606,"Mr Deputy Speaker, I have listened very intently to speeches delivered by all Members of the House. I am sure they were delivered with good intentions. And as I said in defence of the Speaker we cannot be seen or perceived to defend a member of any party. What is true for the Government is equally t"
withdrawal_request,Debate_No_16_of_2019_–_Friday_21_June_2019​,3,0,1,0.532,"Madam Speaker, I wish to make a statement following the interventions of the hon. Third Member for Port Louis South and Port Louis Central on Wednesday 19 June at Adjournment Time, and of the hon. First Member for Port Louis Maritime and Port Louis East on Thursday 20 June in the course of the debat"
withdrawal_request,Debate_No_26_of_2023_–_Tuesday_24_October_2023,156,0,1,0.998,"Hon. Members, the Table has been advised that PQ B/1256 will be replied by the hon. Prime Minister, time permitting. Prime Minister’s Question Time! Hon. Uteem! DNS INTERNATIONAL LTD & DNS CONSULTANCY SERVICES – CONTRACTS AWARDED (No. B/1240) Mr R. Uteem (Second Member for Port Louis South & Port Lo"
withdrawal_request,Debate_No_01_of_2021_–_Tuesday_23_March_2021,583,0,1,0.709,"I have only one question. This question has already been debated fully. There are lot of concerns internationally and locally with regard to the content of the vaccines, the side effects, product liability, exclusion of liability, all these are questions of concerns and in order to allow the public "
so_citation,Debate_No_03_of_2024_–_Tuesday_16_April_2024,152,0,1,0.994,"Mr Speaker, Sir, on a point of order, if I may. I have listened very carefully to your ruling that you gave at the outset and let me underline that I am in no way challenging your ruling or asking you to sit on appeal against your own ruling. That is not what I am doing. I am sure you have…"
so_citation,Debate_No_16_of_2025_(UNREVISED)_–_Tuesday_17_June_2025,383,0,1,0.557,Under which Standing Order?
so_citation,Debate_No_02_of_2019_–_Monday_02_December_2019​,17,0,1,0.614,"Mr Speaker, Sir, I move the following motion standing in my name – “That, pursuant to section 29 of the Constitution of the Republic of Mauritius, Mr Marie Cyril Eddy Boissézon, be elected Vice-President of the Republic of Mauritius.” The Deputy Prime Minister rose and seconded."
so_citation,Debate_No_23_of_2024_–_Tuesday_30_July_2024,146,0,1,0.512,"Mr Speaker, Sir, a ballot paper is the instrument by which a voter exercises his right to vote for the candidates of his choice in an election. Section 1(3) of the First Schedule to the Constitution of Mauritius provides that, and I quote – “Every vote cast by an elector at any election shall be giv"
so_citation,Debate_No_13_of_2021_–_Tuesday_15_June_2021​​,295,0,1,0.831,"Like many other orators before me have quoted Sir Anerood Jugnauth, Mr Deputy Speaker, Sir, I will do the same by quoting a very short line from Sir Anerood Jugnauth’s speech of 17 June 2017 on the Appropriation Bill, exactly 4 years ago, in the same context. And I quote – “If it, meaning Betamax, h"
so_citation,Debate_No_19_of_2018_–_Wednesday_27_June_2018,16,0,1,0.552,"Hon. Members, what I have to say is that whenever a reply is long, I always ask that it be circulated. If the reply is long, I believe that the Minister already has it with him and he can circulate it immediately. That is the first thing. Now, the second thing is when Ministers say that they do not "
so_citation,Debate_No_19_of_2023_–_Tuesday_27_June_2023,162,0,1,0.96,"Hon. Members, I will just inform the House that the Prime Minister has been answering questions B/806 from hon. Bodha, B/808 from hon. Nuckcheddy and B/816 from hon. Mrs Mayotte. This is why I allowed so many questions. Now, the Table has been advised that the following PQs have been withdrawn: B/80"
so_citation,Debate_No_04_of_2024_–_Tuesday_23_April_2024,431,0,1,0.561,"Mr Speaker, Sir, allow me to make a point of order, and I will beg the indulgence of the House and of the Opposition. Mr Speaker, Sir, although we have reached the early hours of the morning, I wish to raise a point of order. It is now time for you to put the question on the Motion and I am duty-bou"
so_citation,Debate_No_20_of_2025_(UNREVISED)_–_Monday_23_June_2025,321,0,1,0.991,"Please be seated. Hon. Members, before we proceed, I have an announcement to make. ANNOUNCEMENT PARLIAMENTARY SITTING 20.06.25 – UNPARLIAMENTARY WORDS – RULING At the Sitting of Friday 20 June 2025, at some point during the Private Notice Question, the hon. Leader of the Opposition, drew my attentio"
so_citation,Debate_No_16_of_2020_–_Tuesday_09_June_2020,4,0,1,0.806,"One by one! I reply to your concern. According to the Standing Orders, if you have to raise this point, you should have done it privately in my office. I now move on. There is no point of order. I rule that there is no point of order to that point. I move to Prime Minister’s Question Time. Hon. Bhag"
so_citation,Debate_No_07_of_2015_(REVISED)_–_Thursday_05_March_2015,186,0,1,0.641,"Madam Speaker, it is an honour and a pleasure to address this august Assembly on the Government Programme. Let me from the outset congratulate you on your appointment as first lady Speaker and, at the same time, congratulate hon. Adrien Duval on his appointment as Deputy Speaker. I wish both of you "
so_citation,Debate_No_37_of_2018_–_Monday_10_December_2018,103,0,1,0.622,"Hon. Members, I have perused the unrevised version of the verbatim report of the intervention of hon. Shakeel Mohamed in the course of the debate on the Constitution (Amendment) Bill on Friday 07 December 2018. Hon. Shakeel Mohamed is reported to have said, I quote – “I wonder whether he recalls one"
so_citation,Debate_No_20_of_2025_(UNREVISED)_–_Monday_23_June_2025,11,0,1,0.818,". Under section 42 of our Standing Orders to the effect that on Friday 20 June 2025, the hon. Deputy Prime Minister, hon. Paul Bérenger made unprovoked remarks to my address by calling me a “cochon” which is both insulting and offensive. I would, therefore, request that the hon. Deputy Prime Ministe"
so_citation,Debate_No_39_of_2021_–_Friday_17_December_2021​​,141,0,1,0.965,"Mr Speaker, Sir, I would like to raise a point of order in the light of the ruling which you gave. Mr Speaker, Sir, since I have not breached any order and, therefore, my point of order in relation to paragraph 15 (27) of Erskine May is in perfect order to treat the making of a deliberately misleadi"
so_citation,Debate_No_26_of_2019_–_Tuesday_06_August_2019,463,0,1,0.595,"A point of explanation, a point of clarification. He mentioned that in the letter, that lady was given five increments. I have just seen the letter, nowhere in that letter is such a mention made. Mr Deputy Speaker, Sir, I would send this letter back to the Table."
so_citation,Debate_No_13_of_2024_–_Friday_14_June_2024,111,0,1,0.557,Under which Standing Order?
so_citation,Debate_No_01_of_2017_–_Tuesday_28_March_2017,164,0,1,0.925,"Hon. Members, I have said order in the House! Hon. Leader of the Opposition, please sit down! Hon. Members, I wish to draw your attention to the fact that when I am on my feet and I am calling for order, there should be silence in the House; otherwise you are obstructing the business of the House. S"
so_citation,Debate_No_37_of_2015_(REVISED)_–_Tuesday_27_October_2015,361,0,1,0.546,"On a point of order, Madam Speaker. I never referred the Director of Audit of doing any politics. I referred to the Members. I have much respect for the Director of Audit and I would like that my friend withdraw or if he did not understand what I have said I hope that now he understands because we a"
so_citation,Debate_No_25_of_2020_–_Tuesday_14_July_2020,505,0,1,0.539,"This clearly shows that they are used to table frivolous motions. Prior to today’s motion, on numerous occasions, unfortunately, we have had the chance to witness the behaviour of some Members sitting on the other side of the House towards the Chair, displaying open resistance, flouting the Chair’s "
so_citation,Debate_No_02_of_2017_–_Tuesday_04_April_2017,1029,0,1,0.618,"I am so grateful, Mr Deputy Speaker, Sir. It is some exercise of standing and sitting, and I thank you for allowing me to do some exercise at the same time. So that is the purpose of coming forward with this motion. At the appropriate time, if you, Mr Deputy Speaker, Sir, believe that I am in any wa"
pnq_transfer,Debate_No_07_of_2016_(REVISED)_–_Tuesday_17_May_2016,152,0,1,0.957,"Time is over! The Table has been advised that PQ Nos. B/409 and B/410 have been withdrawn. The Table has also been advised that PQ No. B/431 in regard to Les Salines Waterfront Development (Neotown) Project will now be replied by the hon. Deputy Prime Minister, Minister of Tourism and External Commu"
pnq_transfer,Debate_No_02_of_2015_(REVISED)_–_Tuesday_10_February_2015,128,0,1,0.572,"Time is over! Hon. Members, the Table has been advised that Parliamentary Question Nos. B/19 in regard to the renegotiation of the Avoidance of Double Taxation Treaty; B/44 in regard to introduction of subject teaching at primary level addressed to the hon. Minister of Education and Human Resources,"
pnq_transfer,Debate_No_38_of_2020_–_Tuesday_15_December_2020,139,0,1,0.573,"M. le président, permettez-moi, tout d'abord, de remercier les honorables parlementaires qui sont intervenus sur ce projet de loi. Comme je l'ai mentionné dans mon discours, les dépenses totales pour l'exercice 2018-2019 sont inférieures au montant total alloué par l'Assemblée nationale. Cela étant "
pnq_transfer,Debate_No_14_of_2015_(REVISED)_–_–_Tuesday_31_March_2015,139,0,1,0.79,"Time is over! Hon. Members, the Table has been advised that Parliamentary Question No. B/234 addressed to the hon. Minister of Ocean Economy, Marine Resources, Fisheries, Shipping and Outer Islands will now be replied by the hon. Deputy Prime Minister, Minister of Tourism and External Communications"
pnq_transfer,Debate_No_03_of_2023_–_Tuesday_11_April_2023,1,0,1,0.714,"Hon. Members, further to my announcement on Tuesday last with regard to Dr. the honourable Boolell for having uttered outrageous and contemptuous words and expressions to my address during an interview on the radio in the course of the programme “Au Coeur de l’info” on Radio Plus on Tuesday 28 March"
pnq_transfer,Debate_No_04_of_2016_(REVISED)_–_Tuesday_19_April_2016,65,0,1,0.927,"Time is over! Hon. Members, the Table has been advised that Parliamentary Question No. B/203, in regard to the speed cameras, will now be replied by the hon. Minister of Public Infrastructure and Land Transport, Parliamentary Question No. B/204, in regard to the sale by levy, will now be replied by "
pnq_transfer,Debate_No_31_of_2015_(REVISED)_–_Tuesday_22_September_2015,168,0,1,0.873,"Time is over! Hon. Members, the Table has been advised that P.Q. No. B/523 has been withdrawn. P.Q. No. B/521 in regard to the proposed setting-up of a Land Tribunal and addressed to the Rt. hon. Prime Minister will now be replied by the hon. Attorney-General. P.Q. Nos. B/527 and B/528 have also bee"
pnq_transfer,Debate_No_32_of_2016_(REVISED)_–_Tuesday_15_November_2016,185,0,1,0.999,"Time is over! Hon. Members, the Table has been advised that PQ No. B/898 in regard to the elimination of asbestos from ex-CHA housing units will now be replied by the hon. Minister of Environment, Sustainable Development, and Disaster and Beach Management. PQ No. B/915 in regard to the Heritage City"
pnq_transfer,Debate_No_23_of_2020_–_Tuesday_30_June_2020,132,0,1,0.816,"Please be seated! Clerk, move on. No PNQ! Questions addressed to the hon. Prime Minister! PQ Nos. B/145 and B/154 have been withdrawn. So, hon. Ameer Meea is not here. Questions addressed to hon. Ministers! I am informed that PQs B/182, B/196, B/197, B/198, B/204, B/205 have been withdrawn. Hon. Ms "
pnq_transfer,Debate_No_33_of_2015_(REVISED)_–_Tuesday_06_October_2015,145,0,1,0.986,"Time is over. Hon. Members, the Table has been advised that PQ B/642 in regard to all inclusive packages proposed to the tourists by tour operators addressed to the hon. Minister of Public Infrastructure and Land Transport will now be replied by the hon. Ag. Prime Minister, Minister of Tourism and E"
pnq_transfer,Debate_No_23_of_2016_(REVISED)_–_Tuesday_09_August_2016,154,0,1,0.981,"Time is over! Questions addressed to hon. Ministers! The Table has been advised that PQ B/837 in regard to the setting up of an Executive Chauffeur Driven Taxi Car Service addressed to the hon. Deputy Prime Minister, Minister of Tourism and External Communications will now be replied by the hon. Min"
pnq_transfer,Debate_No_30_of_2015_(REVISED)_–_Tuesday_15_September_2015,606,0,1,0.5,"PQ NO. B/393 - OFFENSIVE WORDS - WITHDRAWAL Mr B. Jahangeer (Third Member for Rivière des Anguilles & Souillac): Madam Speaker, with your permission, I wish to make a personal explanation. At the sitting of Tuesday, 01 September 2015, during Question Time, while putting a supplementary question to m"
pnq_transfer,Debate_No._31_of_2025_(UNREVISED)_–_Tuesday_29_July_2025,417,0,1,0.775,"Yes, now we go to question B/779 to be replied by the hon. Minister of Foreign Affairs, Regional Integration and International Trade. Hon. Etwareea, put your question B/779! It was addressed to the hon. Prime Minister but it will be answered by the hon. Minister of Foreign Affairs, Regional Integrat"
pnq_transfer,Debate_No_17_of_2015_(REVISED)_–_Tuesday_07_April_2015,54,0,1,0.952,"Time is over! Hon. Members, the Table has been advised that Parliamentary Question Nos. B/254 and B/261 have been withdrawn. Parliamentary Question No. B/263 addressed to the Rt. hon. Prime Minister will now be replied by the hon. Minister of Agro Industry and Food Security! NDU - DISTRICT CONTRACTO"
pnq_transfer,Debate_No_01_of_2022_–_Tuesday_29_March_2022,225,0,1,0.627,"That has been discussed, Mr Speaker, Sir. We have discussed that at the National Disaster Centre and we have been working on this for some time now, and we are going to put a phase after a cyclone, when a Class IV has been withdrawn we are going to have a new phase. We are working on it and that is "
pnq_transfer,Debate_No_23_of_2016_(REVISED)_–_Tuesday_09_August_2016,39,0,1,0.923,"Time is over! The Table has been advised the PQ B/825 will now be replied by hon. Minister of Local Government. Hon. Ganoo! REFERENDUM - LEGISLATION (No. B/826) Mr A. Ganoo (First Member for Savanne & Black River) asked the Rt. hon. Prime Minister, Minister of Defence, Home Affairs, Minister for Rod"
pnq_transfer,Debate_No_13_of_2024_–_Friday_14_June_2024,143,0,1,0.711,"I have an announcement. Leader of Opposition, you have done your work. Let me do my work. ANNOUNCEMENT HON. AMEER MEEA – IMPUTED MOTIVES – APOLOGIES Hon. Members, during the course of the debate on the Budget yesterday whilst the hon. Ameer Meea had the floor, the hon. Minister Koonjoo-Shah raised a"
pnq_transfer,Debate_No_34_of_2016_(REVISED)_–_Tuesday_29_November_2016,40,0,1,0.89,"Time is over! The Table has been advised that PQ B/1024 has been withdrawn. PQ B/1025 in regard to the representations made by the Regrupma Travayer Socyal on the continuous hammering of a deep underground compacter, will now be replied by the hon. Vice-Prime Minister, Minister of Energy and Public "
pnq_transfer,Debate_No_11_of_2024_–_Wednesday_12_June_2024,2,1,0,0.018,"Hon. Members, I have been informed that the Private Notice Question will be replied by the hon. Attorney General. Hon. Leader of the Opposition! ORAL ANSWER TO QUESTION THE MINISTER OF ENVIRONMENT, SOLID WASTE MANAGEMENT & CLIMATE CHANGE – NOTARIAL OFFICE – EIA APPLICATION The Leader of the Oppositi"
pnq_transfer,Debate_No_17_of_2019_–_Monday_24_June_2019​,1142,0,1,0.62,I think this has been replied by the hon. Prime Minister.
